AlertID,County,EndRoadwayLocation,EndTime,EventCategory,EventStatus,ExtendedDescription,HeadlineDescription,LastUpdatedTime,Priority,Region,StartRoadwayLocation,StartTime,timestamp,ta_id
626161,Spokane,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.696625598, ""Longitude"": -117.041688607, ""MilePost"": 299.82, ""RoadName"": ""090""}",,Road Report,Open,,"I-90 from Broadway to the Idaho State Line, road conditions are: bare and wet.",/Date(1738642927133-0800)/,Low,Eastern,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.66376145, ""Longitude"": -117.312807889, ""MilePost"": 286.24, ""RoadName"": ""090""}",/Date(1738642920000-0800)/,2025-02-03 22:21:17.828031,2
632777,,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.243100121, ""Longitude"": -122.340617612, ""MilePost"": 0.94, ""RoadName"": ""099""}",/Date(1738365000000-0800)/,Construction,Open,,"Monday, Jan. 27 to Friday, Jan. 31 - One lane of southbound SR 99 between 70th Avenue East and the Wapato Way roundabout will be closed daily from 6 a.m. to 3 p.m. for sidewalk and curb construction.",/Date(1737737937890-0800)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.245034201, ""Longitude"": -122.336548488, ""MilePost"": 1.18, ""RoadName"": ""099""}",/Date(1737738600000-0800)/,2025-02-03 22:21:17.828031,2
632730,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.799343554, ""Longitude"": -122.314359661, ""MilePost"": 179.28, ""RoadName"": ""005""}",/Date(1738330200000-0800)/,Construction,Open,,"Sound Transit contractor crews will close the two right lanes on northbound I-5 between 236th Street Southwest and 220th Street Southwest from 10 p.m. to 5:30 a.m. nightly Monday, Jan. 27 through the morning of Friday, Jan. 31.",/Date(1737672371313-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.785017381, ""Longitude"": -122.316118762, ""MilePost"": 178.28, ""RoadName"": ""005""}",/Date(1737679440000-0800)/,2025-02-03 22:21:17.828031,2
634713,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.226821541, ""Longitude"": -122.24775169, ""MilePost"": 9.0, ""RoadName"": ""167""}",/Date(1739019600000-0800)/,Construction,Open,,"Monday, February 3 to the morning of Saturday, February 8: Up to two lanes of northbound SR 167 from SR 410 (milepost 7.1) to 24th Street East (milepost 9.0) will be closed nightly, from 7:00 p.m. – 5:00 a.m.",/Date(1738609561750-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.202490584, ""Longitude"": -122.255891914, ""MilePost"": 7.1, ""RoadName"": ""167""}",/Date(1738569600000-0800)/,2025-02-03 22:21:17.828031,2
632832,,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 47.509454092, ""Longitude"": -121.876857686, ""MilePost"": 26.0, ""RoadName"": ""090""}",/Date(1738285200000-0800)/,Construction,Open,,"The left lane and shoulder of eastbound I-90 will close from 9 a.m. to 5 p.m. daily Wednesday, Jan. 28, through Thursday, Jan. 30, for construction of a diverging diamond interchange.",/Date(1737760860633-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 47.507711789, ""Longitude"": -121.887257203, ""MilePost"": 25.5, ""RoadName"": ""090""}",/Date(1737760740000-0800)/,2025-02-03 22:21:17.828031,2
632779,,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.421505105, ""Longitude"": -122.286092402, ""MilePost"": 151.28, ""RoadName"": ""005""}",/Date(1738065900000-0800)/,Construction,Open,,"Monday, Jan. 27 to Tuesday, Jan. 28 - The southbound I-5 ramp to SR 516 will close from 11:30 p.m. to 4 a.m. When it reopens on Tuesday, the entrance to the off-ramp will be located approximately a half mile north of its existing location.",/Date(1737738313800-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.391512313, ""Longitude"": -122.291071001, ""MilePost"": 149.18, ""RoadName"": ""005""}",/Date(1737738900000-0800)/,2025-02-03 22:21:17.828031,2
626163,Whitman,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.253450503, ""Longitude"": -117.361052472, ""MilePost"": 65.78, ""RoadName"": ""195""}",,Road Report,Open,,"US195 from Pullman to Rosalia, road conditions are: bare and wet, snow in places.",/Date(1738646974320-0800)/,Low,Eastern,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.738118033, ""Longitude"": -117.227268231, ""MilePost"": 22.53, ""RoadName"": ""195""}",/Date(1738646940000-0800)/,2025-02-03 22:21:17.828031,2
634012,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.578740986, ""Longitude"": -122.174072238, ""MilePost"": 11.0, ""RoadName"": ""405""}",/Date(1738242000000-0800)/,Construction,Open,,"Up to two lanes of northbound I-405 from 112th Avenue Southeast / Lake Washington Boulevard (milepost 10) to I-90 (milepost 11) will be closed overnight, 8:30 p.m. Wednesday, Jan. 29 – 5 a.m. Thursday, Jan. 30.",/Date(1737998440453-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.566080979, ""Longitude"": -122.183126651, ""MilePost"": 10.0, ""RoadName"": ""405""}",/Date(1738137600000-0800)/,2025-02-03 22:21:17.828031,2
622592,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.866219822, ""Longitude"": -121.540326433, ""MilePost"": 16.28, ""RoadName"": ""123""}",,Closure,Open,,SR 123 Cayuse Pass is now closed for the season between Crystal Mountain Boulevard and US 12 due to heavy snowfall and avalanche danger. The pass will reopen sometime in late spring 2025.,/Date(1730830168253-0800)/,Highest,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.685425099, ""Longitude"": -121.578779227, ""MilePost"": 0.0, ""RoadName"": ""123""}",/Date(1730473680000-0700)/,2025-02-03 22:21:17.828031,2
634735,,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.46267578, ""Longitude"": -122.266144042, ""MilePost"": 0.0, ""RoadName"": ""405""}",/Date(1738933200000-0800)/,Construction,Open,,"The left HOV lane of southbound I-405 from Talbot Road South (milepost 3) to SR 181 (milepost 0) will be closed nightly, 10:15 p.m. Monday, Feb 3 – 5 a.m. Friday, Feb. 7.",/Date(1738611843470-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.471342, ""Longitude"": -122.204799615, ""MilePost"": 3.0, ""RoadName"": ""405""}",/Date(1738569600000-0800)/,2025-02-03 22:21:17.828031,2
