AverageTime,CurrentTime,Description,Distance,EndPoint,Name,StartPoint,TimeUpdated,TravelTimeID,timestamp
20,20,Federal Way to Downtown Seattle,21.85,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Federal Way-Seattle,"{'Description': 'I-5 @ S 320th St in Federal Way', 'Direction': 'N', 'Latitude': 47.315446, 'Longitude': -122.296702, 'MilePost': 143.98, 'RoadName': '005'}",/Date(1738215900000-0800)/,17,2025-01-29 21:47:52.451024
20,20,Federal Way to Downtown Seattle using HOV lanes,21.85,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Federal Way-Seattle HOV,"{'Description': 'I-5 @ S 320th St in Federal Way', 'Direction': 'N', 'Latitude': 47.315446, 'Longitude': -122.296702, 'MilePost': 143.98, 'RoadName': '005'}",/Date(1738215900000-0800)/,18,2025-01-29 21:47:52.451024
20,20,Downtown Seattle to Federal Way using HOV lanes,22.19,"{'Description': 'I-5 @ S 320th St in Federal Way', 'Direction': 'S', 'Latitude': 47.31384, 'Longitude': -122.298609, 'MilePost': 143.64, 'RoadName': '005'}",Seattle-Federal Way HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1738215900000-0800)/,19,2025-01-29 21:47:52.451024
20,20,Downtown Seattle to Federal Way,22.19,"{'Description': 'I-5 @ S 320th St in Federal Way', 'Direction': 'S', 'Latitude': 47.31384, 'Longitude': -122.298609, 'MilePost': 143.64, 'RoadName': '005'}",Seattle-Federal Way,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1738215900000-0800)/,20,2025-01-29 21:47:52.451024
23,23,Downtown Bellevue to Federal Way,24.47,"{'Description': 'I-5 @ S 320th St in Federal Way', 'Direction': 'S', 'Latitude': 47.31384, 'Longitude': -122.298609, 'MilePost': 143.64, 'RoadName': '005'}",Bellevue-Federal Way,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",/Date(1738215900000-0800)/,21,2025-01-29 21:47:52.451024
22,22,Federal Way to Downtown Bellevue,24.13,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.61361, 'Longitude': -122.18797, 'MilePost': 13.6, 'RoadName': '405'}",Federal Way-Bellevue,"{'Description': 'I-5 @ S 320th St in Federal Way', 'Direction': 'N', 'Latitude': 47.315446, 'Longitude': -122.296702, 'MilePost': 143.98, 'RoadName': '005'}",/Date(1738215900000-0800)/,22,2025-01-29 21:47:52.451024
23,23,Downtown Bellevue to Federal Way using HOV lanes,24.62,"{'Description': 'I-5 @ S 320th St in Federal Way', 'Direction': 'S', 'Latitude': 47.31384, 'Longitude': -122.298609, 'MilePost': 143.64, 'RoadName': '005'}",Bellevue-Federal Way HOV,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",/Date(1738215900000-0800)/,23,2025-01-29 21:47:52.451024
23,23,Federal Way to Downtown Bellevue using HOV lanes,24.13,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.61361, 'Longitude': -122.18797, 'MilePost': 13.6, 'RoadName': '405'}",Federal Way-Bellevue HOV,"{'Description': 'I-5 @ S 320th St in Federal Way', 'Direction': 'N', 'Latitude': 47.315446, 'Longitude': -122.296702, 'MilePost': 143.98, 'RoadName': '005'}",/Date(1738215900000-0800)/,24,2025-01-29 21:47:52.451024
15,15,Downtown Seattle to Lynnwood using HOV lanes,15.73,"{'Description': 'I-5 @ 196th St SW in Lynnwood', 'Direction': 'N', 'Latitude': 47.819545, 'Longitude': -122.279109, 'MilePost': 181.56, 'RoadName': '005'}",Seattle-Lynnwood HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1738215900000-0800)/,25,2025-01-29 21:47:52.451024
14,14,Lynnwood to Downtown Seattle,15.23,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Lynnwood-Seattle,"{'Description': 'I-5 @ 196th St SW in Lynnwood', 'Direction': 'S', 'Latitude': 47.820954, 'Longitude': -122.279633, 'MilePost': 181.06, 'RoadName': '005'}",/Date(1738215900000-0800)/,26,2025-01-29 21:47:52.451024
15,15,Downtown Seattle to Lynnwood,15.73,"{'Description': 'I-5 @ 196th St SW in Lynnwood', 'Direction': 'N', 'Latitude': 47.819545, 'Longitude': -122.279109, 'MilePost': 181.56, 'RoadName': '005'}",Seattle-Lynnwood,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1738215900000-0800)/,27,2025-01-29 21:47:52.451024
13,13,Renton to Downtown Seattle using HOV lanes,13.5,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Renton-Seattle HOV,"{'Description': 'I-405 @ SR 167 in Renton', 'Direction': 'S', 'Latitude': 47.458, 'Longitude': -122.217, 'MilePost': 2.21, 'RoadName': '405'}",/Date(1738215900000-0800)/,30,2025-01-29 21:47:52.451024
13,13,Downtown Seattle to Renton using HOV lanes,13.59,"{'Description': 'I-405 @ SR 167 in Renton', 'Direction': 'N', 'Latitude': 47.467434, 'Longitude': -122.219631, 'MilePost': 2.21, 'RoadName': '405'}",Seattle-Renton HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1738215900000-0800)/,31,2025-01-29 21:47:52.451024
13,13,Renton to Downtown Seattle,13.67,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Renton-Seattle,"{'Description': 'I-405 @ SR 167 in Renton', 'Direction': 'S', 'Latitude': 47.458, 'Longitude': -122.217, 'MilePost': 2.21, 'RoadName': '405'}",/Date(1738215900000-0800)/,32,2025-01-29 21:47:52.451024
13,13,Downtown Seattle to Renton,13.63,"{'Description': 'I-405 @ SR 167 in Renton', 'Direction': 'N', 'Latitude': 47.467434, 'Longitude': -122.219631, 'MilePost': 2.21, 'RoadName': '405'}",Seattle-Renton,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1738215900000-0800)/,33,2025-01-29 21:47:52.451024
15,15,Downtown Bellevue to Lynnwood,16.46,"{'Description': 'I-405 @ I-5 in Lynnwood', 'Direction': 'N', 'Latitude': 47.8237, 'Longitude': -122.2517, 'MilePost': 30.06, 'RoadName': '405'}",Bellevue-Lynnwood,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1738215900000-0800)/,35,2025-01-29 21:47:52.451024
15,15,Downtown Bellevue to Lynnwood using HOV lanes,15.93,"{'Description': 'I-5 @ SR 526 in Lynnwood', 'Direction': 'N', 'Latitude': 47.920431, 'Longitude': -122.206552, 'MilePost': 29.53, 'RoadName': '405'}",Bellevue-Lynnwood HOV,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1738215900000-0800)/,36,2025-01-29 21:47:52.451024
15,15,Lynnwood to Downtown Bellevue using HOV lanes,16.73,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",Lynnwood-Bellevue HOV,"{'Description': 'I-5 @ SR 526 in Lynnwood', 'Direction': 'S', 'Latitude': 47.831743, 'Longitude': -122.262488, 'MilePost': 30.06, 'RoadName': '405'}",/Date(1738215900000-0800)/,37,2025-01-29 21:47:52.451024
15,15,Lynnwood to Downtown Bellevue,16.73,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",Lynnwood-Bellevue,"{'Description': 'I-405 @ I-5 in Lynnwood', 'Direction': 'S', 'Latitude': 47.831743, 'Longitude': -122.262488, 'MilePost': 30.06, 'RoadName': '405'}",/Date(1738215900000-0800)/,38,2025-01-29 21:47:52.451024
0,0,Everett to Downtown Seattle using express lanes,26.72,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Everett-Seattle EL,"{'Description': 'I-5 @ 41st St in Everett', 'Direction': 'S', 'Latitude': 47.964146, 'Longitude': -122.199237, 'MilePost': 192.55, 'RoadName': '005'}",/Date(1738215900000-0800)/,39,2025-01-29 21:47:52.451024
0,0,Everett to Downtown Seattle using express lanes and HOV lanes,26.72,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Everett-Seattle EL HOV,"{'Description': 'I-5 @ 41st St in Everett', 'Direction': 'S', 'Latitude': 47.964146, 'Longitude': -122.199237, 'MilePost': 192.55, 'RoadName': '005'}",/Date(1738215900000-0800)/,40,2025-01-29 21:47:52.451024
12,12,SeaTac to Downtown Seattle using HOV lanes,13.03,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",SeaTac-Seattle HOV,"{'Description': 'I-5 @ S 188th St in SeaTac', 'Direction': 'N', 'Latitude': 47.43876, 'Longitude': -122.26947, 'MilePost': 152.8, 'RoadName': '005'}",/Date(1738215900000-0800)/,41,2025-01-29 21:47:52.451024
