station_id,barometric_pressure,latitude,longitude,loc_key,percipitation,reading_time,humidity,sky_coverage,raw_roadname,road_key,mp,temp,visibility,wind_direction,wind_gust_speed,avg_wind_speed,updated,last_refresh
2087,NULL,47.426,-121.432,7393de3c38febd8e14cf6c50f5be4889,UNKNOWN,"2025-02-15 01:08:52",97,N/A,I-90,I-90,51.25,27.68,1,N/A,2,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2108,NULL,47.3348,-120.577,8cd14c1564f9376ff7b5c136e7ef3db5,UNKNOWN,"2025-02-15 00:50:05",9,N/A,"US 97",US-97,163.75,27.5,NULL,N/A,NULL,NULL,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2139,NULL,46.638,-121.39,a36bd3881268633b0b915330f1f02886,UNKNOWN,"2025-02-15 01:02:01",87,N/A,"US 12",US-12,150.92,23.72,1,N/A,8,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2173,NULL,47.3019,-120.068,1474c8ad71ca7a1c75c8fd980004079d,UNKNOWN,"2025-02-15 00:42:05",45,N/A,"SR 28",SR-28,14.44,37.58,1,ESE,3,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2174,NULL,47.2331,-119.958,afc960900805c990619c1d83a5b40e27,UNKNOWN,"2025-02-15 00:53:06",83,N/A,"SR 28",SR-28,24.90,34.7,NULL,SSE,6,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2248,825.4,48.9983,-118.225,8a78f5004f21abdc47af3d741392e600,UNKNOWN,"2025-02-15 01:00:45",78,N/A,"US 395",US-395,270.10,27.32,1,NE,0,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2249,916.9,48.608,-118.479,41e18ab58ca1e41b006d05d48887c1da,UNKNOWN,"2025-02-15 01:02:27",84,N/A,"SR 20",SR-20,319.50,18.14,1,N/A,4,2,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2250,NULL,46.8091,-119.129,46476ca216fdd0c8c01686c58c21c2f0,UNKNOWN,"2025-02-15 01:06:13",84,N/A,"SR 17",SR-17,28.38,26.24,1,N,0,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2280,NULL,46.9343,-123.728,54bb4c35f60d6c86316cf7eab03079f2,UNKNOWN,"2025-02-15 01:02:22",87,N/A,"US 101",US-101,78.38,40.64,1,SE,3,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2281,NULL,47.1402,-123.892,06c586ae72ae718ded970f64d699baf6,UNKNOWN,"2025-02-15 01:02:36",81,N/A,"US 101",US-101,100.40,41.18,1,S,3,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
