AverageTime,CurrentTime,Description,Distance,EndPoint,Name,StartPoint,TimeUpdated,TravelTimeID,timestamp
41,31,Everett to Downtown Seattle using HOV lanes,26.72,"{""Description"": ""I-5 @ University St in Seattle"", ""Direction"": ""S"", ""Latitude"": 47.609294, ""Longitude"": -122.331759, ""MilePost"": 165.83, ""RoadName"": ""005""}",Everett-Seattle HOV,"{""Description"": ""I-5 @ 41st St in Everett"", ""Direction"": ""S"", ""Latitude"": 47.964146, ""Longitude"": -122.199237, ""MilePost"": 192.55, ""RoadName"": ""005""}",/Date(1738714800000-0800)/,2,2025-02-04 16:23:32.489436
48,28,Downtown Seattle to Everett using HOV lanes,26.94,"{""Description"": ""I-5 @ 41st St in Everett"", ""Direction"": ""N"", ""Latitude"": 47.92428, ""Longitude"": -122.26548, ""MilePost"": 192.77, ""RoadName"": ""005""}",Seattle-Everett HOV,"{""Description"": ""I-5 @ University St in Seattle"", ""Direction"": ""N"", ""Latitude"": 47.609294, ""Longitude"": -122.331759, ""MilePost"": 165.83, ""RoadName"": ""005""}",/Date(1738714800000-0800)/,3,2025-02-04 16:23:32.489436
63,32,Downtown Seattle to Everett,26.94,"{""Description"": ""I-5 @ 41st St in Everett"", ""Direction"": ""N"", ""Latitude"": 47.92428, ""Longitude"": -122.26548, ""MilePost"": 192.77, ""RoadName"": ""005""}",Seattle-Everett,"{""Description"": ""I-5 @ University St in Seattle"", ""Direction"": ""N"", ""Latitude"": 47.609294, ""Longitude"": -122.331759, ""MilePost"": 165.83, ""RoadName"": ""005""}",/Date(1738714800000-0800)/,4,2025-02-04 16:23:32.489436
18,9,Downtown Bellevue to Issaquah,9.28,"{""Description"": ""I-90 @ Front St in Issaquah"", ""Direction"": ""E"", ""Latitude"": 47.541799, ""Longitude"": -122.037396, ""MilePost"": 16.96, ""RoadName"": ""090""}",Bellevue-Issaquah,"{""Description"": ""I-405 @ NE 8th St in Bellevue"", ""Direction"": ""S"", ""Latitude"": 47.6138, ""Longitude"": -122.18892, ""MilePost"": 13.33, ""RoadName"": ""405""}",/Date(1738714800000-0800)/,5,2025-02-04 16:23:32.489436
13,10,Downtown Bellevue to Issaquah using HOV lanes,9.28,"{""Description"": ""I-90 @ Front St in Issaquah"", ""Direction"": ""E"", ""Latitude"": 47.541799, ""Longitude"": -122.037396, ""MilePost"": 16.96, ""RoadName"": ""090""}",Bellevue-Issaquah HOV,"{""Description"": ""I-405 @ NE 8th St in Bellevue"", ""Direction"": ""S"", ""Latitude"": 47.6138, ""Longitude"": -122.18892, ""MilePost"": 13.33, ""RoadName"": ""405""}",/Date(1738714800000-0800)/,6,2025-02-04 16:23:32.489436
9,9,Issaquah to Downtown Bellevue using HOV lanes,9.25,"{""Description"": ""I-405 @ NE 8th St in Bellevue"", ""Direction"": ""N"", ""Latitude"": 47.61361, ""Longitude"": -122.18797, ""MilePost"": 13.6, ""RoadName"": ""405""}",Issaquah-Bellevue HOV,"{""Description"": ""I-90 @ Front St in Issaquah"", ""Direction"": ""W"", ""Latitude"": 47.541799, ""Longitude"": -122.037396, ""MilePost"": 16.96, ""RoadName"": ""090""}",/Date(1738714800000-0800)/,7,2025-02-04 16:23:32.489436
10,9,Issaquah to Downtown Bellevue,9.25,"{""Description"": ""I-405 @ NE 8th St in Bellevue"", ""Direction"": ""N"", ""Latitude"": 47.61361, ""Longitude"": -122.18797, ""MilePost"": 13.6, ""RoadName"": ""405""}",Issaquah-Bellevue,"{""Description"": ""I-90 @ Front St in Issaquah"", ""Direction"": ""W"", ""Latitude"": 47.541799, ""Longitude"": -122.037396, ""MilePost"": 16.96, ""RoadName"": ""090""}",/Date(1738714800000-0800)/,8,2025-02-04 16:23:32.489436
69,32,Downtown Bellevue to Everett,26.76,"{""Description"": ""I-5 @ 41st St in Everett"", ""Direction"": ""N"", ""Latitude"": 47.92428, ""Longitude"": -122.26548, ""MilePost"": 192.77, ""RoadName"": ""005""}",Bellevue-Everett,"{""Description"": ""I-405 @ NE 8th St in Bellevue"", ""Direction"": ""N"", ""Latitude"": 47.6138, ""Longitude"": -122.18892, ""MilePost"": 13.6, ""RoadName"": ""405""}",/Date(1738714800000-0800)/,9,2025-02-04 16:23:32.489436
36,27,Everett to Downtown Bellevue,26.86,"{""Description"": ""I-405 @ NE 8th St in Bellevue"", ""Direction"": ""S"", ""Latitude"": 47.617307, ""Longitude"": -122.188738, ""MilePost"": 13.33, ""RoadName"": ""405""}",Everett-Bellevue,"{""Description"": ""I-5 @ 41st St in Everett"", ""Direction"": ""S"", ""Latitude"": 47.964146, ""Longitude"": -122.199237, ""MilePost"": 192.55, ""RoadName"": ""005""}",/Date(1738714800000-0800)/,10,2025-02-04 16:23:32.489436
34,26,Downtown Bellevue to Everett using HOV lanes,26.76,"{""Description"": ""I-5 @ 41st St in Everett"", ""Direction"": ""N"", ""Latitude"": 47.92428, ""Longitude"": -122.26548, ""MilePost"": 192.77, ""RoadName"": ""005""}",Bellevue-Everett HOV,"{""Description"": ""I-405 @ NE 8th St in Bellevue"", ""Direction"": ""N"", ""Latitude"": 47.6138, ""Longitude"": -122.18892, ""MilePost"": 13.6, ""RoadName"": ""405""}",/Date(1738714800000-0800)/,11,2025-02-04 16:23:32.489436
